,key_6hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
47,861f18847ffffff_2017-03-17 12:00:00,16.0,970.0,60.625,9.0,700.0,77.77777777777777,66.8,861f18847ffffff,2017-03-17 12:00:00
48,861f18847ffffff_2017-03-18 00:00:00,1.0,35.0,35.0,0.0,0.0,0.0,35.0,861f18847ffffff,2017-03-18 00:00:00
49,861f18847ffffff_2017-03-18 06:00:00,1.0,75.0,75.0,0.0,0.0,0.0,75.0,861f18847ffffff,2017-03-18 06:00:00
50,861f18847ffffff_2017-03-19 06:00:00,1.0,45.0,45.0,0.0,0.0,0.0,45.0,861f18847ffffff,2017-03-19 06:00:00
51,861f18847ffffff_2017-03-19 12:00:00,2.0,150.0,75.0,2.0,95.0,47.5,61.25,861f18847ffffff,2017-03-19 12:00:00
52,861f18847ffffff_2017-03-19 18:00:00,1.0,45.0,45.0,0.0,0.0,0.0,45.0,861f18847ffffff,2017-03-19 18:00:00
53,861f18847ffffff_2017-03-20 00:00:00,1.0,95.0,95.0,0.0,0.0,0.0,95.0,861f18847ffffff,2017-03-20 00:00:00
54,861f18847ffffff_2017-03-20 06:00:00,1.0,70.0,70.0,0.0,0.0,0.0,70.0,861f18847ffffff,2017-03-20 06:00:00
55,861f18847ffffff_2017-03-20 12:00:00,18.0,770.0,42.77777777777778,7.0,380.0,54.28571428571429,46.0,861f18847ffffff,2017-03-20 12:00:00
56,861f18847ffffff_2017-03-20 18:00:00,2.0,95.0,47.5,1.0,45.0,45.0,46.666666666666664,861f18847ffffff,2017-03-20 18:00:00
57,861f18847ffffff_2017-03-21 00:00:00,1.0,130.0,130.0,0.0,0.0,0.0,130.0,861f18847ffffff,2017-03-21 00:00:00
58,861f18847ffffff_2017-03-21 06:00:00,3.0,195.0,65.0,0.0,0.0,0.0,65.0,861f18847ffffff,2017-03-21 06:00:00
59,861f18847ffffff_2017-03-21 12:00:00,8.0,265.0,33.125,9.0,565.0,62.77777777777778,48.8235294117647,861f18847ffffff,2017-03-21 12:00:00
60,861f18847ffffff_2017-03-21 18:00:00,1.0,40.0,40.0,0.0,0.0,0.0,40.0,861f18847ffffff,2017-03-21 18:00:00
61,861f18847ffffff_2017-03-22 06:00:00,3.0,360.0,120.0,0.0,0.0,0.0,120.0,861f18847ffffff,2017-03-22 06:00:00
62,861f18847ffffff_2017-03-22 12:00:00,9.0,395.0,43.88888888888889,11.0,600.0,54.54545454545455,49.75,861f18847ffffff,2017-03-22 12:00:00
63,861f18847ffffff_2017-03-23 06:00:00,3.0,655.0,218.33333333333331,2.0,105.0,52.5,152.0,861f18847ffffff,2017-03-23 06:00:00
64,861f18847ffffff_2017-03-23 12:00:00,15.0,895.0,59.66666666666666,9.0,670.0,74.44444444444444,65.20833333333333,861f18847ffffff,2017-03-23 12:00:00
65,861f18847ffffff_2017-03-23 18:00:00,1.0,20.0,20.0,0.0,0.0,0.0,20.0,861f18847ffffff,2017-03-23 18:00:00
