,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
0,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.41429095035175 52.45702264084855)",0.0,0,0.0
1,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d482ffffff,POINT (13.26755965181566 52.51704777196807),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.26755965181566 52.51704777196807)",11.969117994554184,6,13.84455475351847
2,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48effffff,POINT (13.33829738447166 52.52141882174294),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.33829738447166 52.52141882174294)",8.817473193564318,4,9.229703169012312
3,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48cffffff,POINT (13.35466368497277 52.53967358270499),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.35466368497277 52.53967358270499)",10.037691802671338,5,11.53712896126539
4,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4f2ffffff,POINT (13.42545257283741 52.54399459631815),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.42545257283741 52.54399459631815)",9.700308362530501,5,11.53712896126539
5,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48affffff,POINT (13.35730763436909 52.50533197221475),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.35730763436909 52.50533197221475)",6.614149771746141,3,6.922277376759235
6,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b34ffffff,POINT (13.30826100911115 52.45052307174103),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.30826100911115 52.45052307174103)",7.221093244475,3,6.922277376759235
7,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4f0ffffff,POINT (13.44185323329728 52.56223431616588),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.44185323329728 52.56223431616588)",11.846775948966298,6,13.84455475351847
8,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18869ffffff,POINT (13.27293102556563 52.4483358777895),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.27293102556563 52.4483358777895)",9.627691894738941,4,9.229703169012312
9,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),True,"LINESTRING (13.41429095035175 52.45702264084855, 13.43066656881884 52.47528575241083)",2.3140092813281385,1,2.307425792253078
10,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.19684881679678 52.51263535853141)",15.969838759941123,8,18.459406338024625
11,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.34359767442488 52.45269993376719)",4.814277939994223,2,4.614851584506156
12,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),True,"LINESTRING (13.41429095035175 52.45702264084855, 13.37894099651292 52.45486645856462)",2.407246639111311,1,2.307425792253078
13,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d481ffffff,POINT (13.31927922770562 52.53749753655836),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.31927922770562 52.53749753655836)",11.020099702861557,5,11.53712896126539
14,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4deffffff,POINT (13.51782052121785 52.49780649464314),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.51782052121785 52.49780649464314)",8.350383028206092,4,9.229703169012312
15,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d4d2ffffff,POINT (13.44705206916438 52.49354246299598),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.44705206916438 52.49354246299598)",4.627494142299167,2,4.614851584506156
16,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d49effffff,POINT (13.27024670775531 52.4827011724122),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.27024670775531 52.4827011724122)",10.16641182705552,5,11.53712896126539
17,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d48dffffff,POINT (13.3900548083934 52.54183927105417),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.3900548083934 52.54183927105417)",9.572809598557164,5,11.53712896126539
18,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b25ffffff,POINT (13.41167771596202 52.4913949042375),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.41167771596202 52.4913949042375)",3.8261174424625772,2,4.614851584506156
19,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f1d488ffffff,POINT (13.37367627480208 52.52358882193953),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.37367627480208 52.52358882193953)",7.896119092377238,4,9.229703169012312
20,871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),871f18b24ffffff,POINT (13.37630997814494 52.48923699051952),False,"LINESTRING (13.41429095035175 52.45702264084855, 13.37630997814494 52.48923699051952)",4.4101296338930345,2,4.614851584506156
