hex_id_6hex,total_rent_start_y_true
861f1d48fffffff,32092
861f1d4d7ffffff,22656
861f1d49fffffff,18497
861f18b27ffffff,15968
861f1d4f7ffffff,8707
861f1d487ffffff,6064
861f1d4afffffff,4002
861f18b37ffffff,3206
861f18b2fffffff,1619
861f1886fffffff,1193
861f1d4b7ffffff,1188
861f18b0fffffff,1028
861f1d4dfffffff,549
861f18b07ffffff,454
861f1d497ffffff,283
861f18b77ffffff,248
861f18847ffffff,156
861f1d4c7ffffff,129
