,key_6hex_6h,hex_id_6hex,timestamp,electric_C2G,n_electric_C2G,electric_DN,n_electric_DN,total_avail
0,861f18847ffffff_2017-03-13 00:00:00,861f18847ffffff,2017-03-13 00:00:00,0.0,0.0,0.0,3.0,3.0
1,861f18847ffffff_2017-03-13 06:00:00,861f18847ffffff,2017-03-13 06:00:00,0.0,0.0,0.0,4.0,4.0
2,861f18847ffffff_2017-03-13 12:00:00,861f18847ffffff,2017-03-13 12:00:00,0.0,8.0,1.0,11.0,20.0
3,861f18847ffffff_2017-03-13 18:00:00,861f18847ffffff,2017-03-13 18:00:00,0.0,0.0,1.0,0.0,1.0
4,861f18847ffffff_2017-03-14 00:00:00,861f18847ffffff,2017-03-14 00:00:00,0.0,0.0,0.0,1.0,1.0
5,861f18847ffffff_2017-03-14 06:00:00,861f18847ffffff,2017-03-14 06:00:00,0.0,1.0,0.0,1.0,2.0
6,861f18847ffffff_2017-03-14 12:00:00,861f18847ffffff,2017-03-14 12:00:00,0.0,10.0,0.0,15.0,25.0
7,861f18847ffffff_2017-03-14 18:00:00,861f18847ffffff,2017-03-14 18:00:00,0.0,3.0,0.0,3.0,6.0
8,861f18847ffffff_2017-03-15 00:00:00,861f18847ffffff,2017-03-15 00:00:00,0.0,1.0,0.0,1.0,2.0
9,861f18847ffffff_2017-03-15 06:00:00,861f18847ffffff,2017-03-15 06:00:00,0.0,2.0,0.0,0.0,2.0
10,861f18847ffffff_2017-03-15 12:00:00,861f18847ffffff,2017-03-15 12:00:00,0.0,12.0,1.0,7.0,20.0
11,861f18847ffffff_2017-03-15 18:00:00,861f18847ffffff,2017-03-15 18:00:00,0.0,4.0,0.0,0.0,4.0
12,861f18847ffffff_2017-03-16 00:00:00,861f18847ffffff,2017-03-16 00:00:00,0.0,2.0,0.0,0.0,2.0
13,861f18847ffffff_2017-03-16 06:00:00,861f18847ffffff,2017-03-16 06:00:00,0.0,2.0,0.0,1.0,3.0
14,861f18847ffffff_2017-03-16 12:00:00,861f18847ffffff,2017-03-16 12:00:00,0.0,11.0,0.0,10.0,21.0
15,861f18847ffffff_2017-03-16 18:00:00,861f18847ffffff,2017-03-16 18:00:00,0.0,4.0,0.0,3.0,7.0
16,861f18847ffffff_2017-03-17 00:00:00,861f18847ffffff,2017-03-17 00:00:00,0.0,4.0,0.0,3.0,7.0
17,861f18847ffffff_2017-03-17 06:00:00,861f18847ffffff,2017-03-17 06:00:00,0.0,2.0,0.0,3.0,5.0
18,861f18847ffffff_2017-03-17 12:00:00,861f18847ffffff,2017-03-17 12:00:00,0.0,8.0,1.0,11.0,20.0
19,861f18847ffffff_2017-03-17 18:00:00,861f18847ffffff,2017-03-17 18:00:00,0.0,1.0,0.0,0.0,1.0
20,861f18847ffffff_2017-03-18 00:00:00,861f18847ffffff,2017-03-18 00:00:00,0.0,1.0,0.0,1.0,2.0
21,861f18847ffffff_2017-03-18 06:00:00,861f18847ffffff,2017-03-18 06:00:00,0.0,1.0,0.0,0.0,1.0
22,861f18847ffffff_2017-03-18 12:00:00,861f18847ffffff,2017-03-18 12:00:00,0.0,1.0,0.0,0.0,1.0
23,861f18847ffffff_2017-03-18 18:00:00,861f18847ffffff,2017-03-18 18:00:00,0.0,2.0,0.0,1.0,3.0
24,861f18847ffffff_2017-03-19 00:00:00,861f18847ffffff,2017-03-19 00:00:00,0.0,2.0,0.0,3.0,5.0
25,861f18847ffffff_2017-03-19 06:00:00,861f18847ffffff,2017-03-19 06:00:00,0.0,2.0,0.0,3.0,5.0
26,861f18847ffffff_2017-03-19 12:00:00,861f18847ffffff,2017-03-19 12:00:00,0.0,2.0,0.0,3.0,5.0
27,861f18847ffffff_2017-03-19 18:00:00,861f18847ffffff,2017-03-19 18:00:00,0.0,1.0,0.0,3.0,4.0
28,861f18847ffffff_2017-03-20 00:00:00,861f18847ffffff,2017-03-20 00:00:00,0.0,1.0,0.0,3.0,4.0
29,861f18847ffffff_2017-03-20 06:00:00,861f18847ffffff,2017-03-20 06:00:00,0.0,1.0,0.0,3.0,4.0
30,861f18847ffffff_2017-03-20 12:00:00,861f18847ffffff,2017-03-20 12:00:00,0.0,7.0,0.0,18.0,25.0
31,861f18847ffffff_2017-03-20 18:00:00,861f18847ffffff,2017-03-20 18:00:00,0.0,1.0,0.0,5.0,6.0
32,861f1886fffffff_2017-03-13 00:00:00,861f1886fffffff,2017-03-13 00:00:00,0.0,1.0,3.0,34.0,38.0
33,861f1886fffffff_2017-03-13 06:00:00,861f1886fffffff,2017-03-13 06:00:00,0.0,1.0,3.0,33.0,37.0
34,861f1886fffffff_2017-03-13 12:00:00,861f1886fffffff,2017-03-13 12:00:00,0.0,3.0,4.0,9.0,16.0
