,key_5hex_1h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_5hex,timestamp
0,851f1887fffffff_2017-02-25 00:00:00,2.0,45.0,22.5,1.0,45.0,45.0,30.0,851f1887fffffff,2017-02-25 00:00:00
1,851f1887fffffff_2017-02-25 01:00:00,2.0,75.0,37.5,0.0,0.0,0.0,37.5,851f1887fffffff,2017-02-25 01:00:00
2,851f1887fffffff_2017-02-25 02:00:00,1.0,20.0,20.0,0.0,0.0,0.0,20.0,851f1887fffffff,2017-02-25 02:00:00
3,851f1887fffffff_2017-02-25 03:00:00,1.0,35.0,35.0,0.0,0.0,0.0,35.0,851f1887fffffff,2017-02-25 03:00:00
4,851f1887fffffff_2017-02-25 04:00:00,3.0,100.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,851f1887fffffff,2017-02-25 04:00:00
5,851f1887fffffff_2017-02-25 05:00:00,3.0,650.0,216.66666666666663,0.0,0.0,0.0,216.66666666666666,851f1887fffffff,2017-02-25 05:00:00
6,851f1887fffffff_2017-02-25 06:00:00,3.0,240.0,80.0,1.0,50.0,50.0,72.5,851f1887fffffff,2017-02-25 06:00:00
7,851f1887fffffff_2017-02-25 07:00:00,7.0,540.0,77.14285714285714,0.0,0.0,0.0,77.14285714285714,851f1887fffffff,2017-02-25 07:00:00
8,851f1887fffffff_2017-02-25 08:00:00,8.0,630.0,78.75,0.0,0.0,0.0,78.75,851f1887fffffff,2017-02-25 08:00:00
9,851f1887fffffff_2017-02-25 09:00:00,8.0,345.0,43.125,0.0,0.0,0.0,43.125,851f1887fffffff,2017-02-25 09:00:00
10,851f1887fffffff_2017-02-25 10:00:00,16.0,1320.0,82.5,1.0,40.0,40.0,80.0,851f1887fffffff,2017-02-25 10:00:00
11,851f1887fffffff_2017-02-25 11:00:00,10.0,1065.0,106.5,0.0,0.0,0.0,106.5,851f1887fffffff,2017-02-25 11:00:00
12,851f1887fffffff_2017-02-25 12:00:00,13.0,985.0,75.76923076923076,2.0,95.0,47.5,72.0,851f1887fffffff,2017-02-25 12:00:00
13,851f1887fffffff_2017-02-25 13:00:00,6.0,410.0,68.33333333333333,1.0,30.0,30.0,62.857142857142854,851f1887fffffff,2017-02-25 13:00:00
14,851f1887fffffff_2017-02-25 14:00:00,13.0,1940.0,149.23076923076925,2.0,95.0,47.5,135.66666666666666,851f1887fffffff,2017-02-25 14:00:00
15,851f1887fffffff_2017-02-25 15:00:00,7.0,245.0,35.0,0.0,0.0,0.0,35.0,851f1887fffffff,2017-02-25 15:00:00
