,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
0,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,0,0.0
1,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,2,33.16084800000001
2,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,1,17.571098
3,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),False,2,32.43622899999999
4,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),True,1,19.462097
5,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,2,39.799439999999976
6,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,2,32.972349
7,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,0,0.0
8,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,1,16.65219
9,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,1,17.81589200000001
10,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),False,2,28.266911999999998
11,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,2,38.323876999999996
12,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),True,1,17.046233
13,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),True,1,16.686243
14,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),False,0,0.0
15,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,1,20.206053999999998
16,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),True,1,18.290076999999997
17,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,2,33.28638799999998
18,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,2,32.471116
19,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),True,1,18.259604
20,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,1,20.256262999999993
21,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),False,0,0.0
22,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),True,1,21.31395199999999
23,851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),True,1,23.833960999999995
24,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),True,1,19.470526999999993
25,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,2,28.225345
26,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,1,18.323233999999996
27,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,1,21.246135000000002
28,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),False,0,0.0
29,851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),True,1,22.134516999999992
30,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,2,39.641667999999996
31,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,2,37.90467999999998
32,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),False,2,33.14857100000001
33,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,1,22.965267000000004
34,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),True,1,22.136978999999993
35,851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,0,0.0
