,key_7hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_7hex,timestamp
0,871f18840ffffff_2017-02-26 12:00:00,1.0,90.0,90.0,1.0,45.0,45.0,67.5,871f18840ffffff,2017-02-26 12:00:00
1,871f18840ffffff_2017-02-27 12:00:00,9.0,450.0,50.0,4.0,270.0,67.5,55.38461538461539,871f18840ffffff,2017-02-27 12:00:00
2,871f18840ffffff_2017-02-27 18:00:00,3.0,110.0,36.66666666666666,0.0,0.0,0.0,36.666666666666664,871f18840ffffff,2017-02-27 18:00:00
3,871f18840ffffff_2017-02-28 06:00:00,1.0,40.0,40.0,1.0,90.0,90.0,65.0,871f18840ffffff,2017-02-28 06:00:00
4,871f18840ffffff_2017-02-28 12:00:00,9.0,395.0,43.88888888888889,10.0,470.0,47.0,45.526315789473685,871f18840ffffff,2017-02-28 12:00:00
5,871f18840ffffff_2017-02-28 18:00:00,2.0,660.0,330.0,0.0,0.0,0.0,330.0,871f18840ffffff,2017-02-28 18:00:00
6,871f18840ffffff_2017-03-01 12:00:00,9.0,540.0,60.0,4.0,315.0,78.75,65.76923076923077,871f18840ffffff,2017-03-01 12:00:00
7,871f18840ffffff_2017-03-01 18:00:00,5.0,735.0,147.0,2.0,80.0,40.0,116.42857142857143,871f18840ffffff,2017-03-01 18:00:00
8,871f18840ffffff_2017-03-02 06:00:00,2.0,55.0,27.5,0.0,0.0,0.0,27.5,871f18840ffffff,2017-03-02 06:00:00
9,871f18840ffffff_2017-03-02 12:00:00,12.0,600.0,50.0,7.0,345.0,49.28571428571429,49.73684210526316,871f18840ffffff,2017-03-02 12:00:00
10,871f18840ffffff_2017-03-02 18:00:00,2.0,790.0,395.0,0.0,0.0,0.0,395.0,871f18840ffffff,2017-03-02 18:00:00
