,key_7hex_1h,hex_id_7hex,timestamp,electric_C2G,n_electric_C2G,electric_DN,n_electric_DN,total_avail
0,871f18840ffffff_2017-03-13 00:00:00,871f18840ffffff,2017-03-13 00:00:00,0.0,0.0,0.0,3.0,3.0
1,871f18840ffffff_2017-03-13 01:00:00,871f18840ffffff,2017-03-13 01:00:00,0.0,0.0,0.0,3.0,3.0
2,871f18840ffffff_2017-03-13 02:00:00,871f18840ffffff,2017-03-13 02:00:00,0.0,0.0,0.0,3.0,3.0
3,871f18840ffffff_2017-03-13 03:00:00,871f18840ffffff,2017-03-13 03:00:00,0.0,0.0,0.0,3.0,3.0
4,871f18840ffffff_2017-03-13 04:00:00,871f18840ffffff,2017-03-13 04:00:00,0.0,0.0,0.0,3.0,3.0
5,871f18840ffffff_2017-03-13 05:00:00,871f18840ffffff,2017-03-13 05:00:00,0.0,0.0,0.0,3.0,3.0
6,871f18840ffffff_2017-03-13 06:00:00,871f18840ffffff,2017-03-13 06:00:00,0.0,0.0,0.0,3.0,3.0
7,871f18840ffffff_2017-03-13 07:00:00,871f18840ffffff,2017-03-13 07:00:00,0.0,0.0,0.0,3.0,3.0
8,871f18840ffffff_2017-03-13 08:00:00,871f18840ffffff,2017-03-13 08:00:00,0.0,6.0,0.0,6.0,12.0
9,871f18840ffffff_2017-03-13 09:00:00,871f18840ffffff,2017-03-13 09:00:00,0.0,8.0,0.0,7.0,15.0
10,871f18840ffffff_2017-03-13 10:00:00,871f18840ffffff,2017-03-13 10:00:00,0.0,8.0,1.0,8.0,17.0
11,871f18840ffffff_2017-03-13 11:00:00,871f18840ffffff,2017-03-13 11:00:00,0.0,8.0,1.0,8.0,17.0
12,871f18840ffffff_2017-03-13 12:00:00,871f18840ffffff,2017-03-13 12:00:00,0.0,8.0,1.0,8.0,17.0
13,871f18840ffffff_2017-03-13 13:00:00,871f18840ffffff,2017-03-13 13:00:00,0.0,7.0,1.0,5.0,13.0
14,871f18840ffffff_2017-03-13 14:00:00,871f18840ffffff,2017-03-13 14:00:00,0.0,7.0,1.0,5.0,13.0
15,871f18840ffffff_2017-03-13 15:00:00,871f18840ffffff,2017-03-13 15:00:00,0.0,7.0,1.0,5.0,13.0
16,871f18840ffffff_2017-03-13 16:00:00,871f18840ffffff,2017-03-13 16:00:00,0.0,7.0,1.0,4.0,12.0
17,871f18840ffffff_2017-03-13 17:00:00,871f18840ffffff,2017-03-13 17:00:00,0.0,3.0,1.0,1.0,5.0
18,871f18840ffffff_2017-03-13 18:00:00,871f18840ffffff,2017-03-13 18:00:00,0.0,0.0,1.0,0.0,1.0
19,871f18840ffffff_2017-03-13 19:00:00,871f18840ffffff,2017-03-13 19:00:00,0.0,0.0,0.0,0.0,0.0
20,871f18840ffffff_2017-03-13 20:00:00,871f18840ffffff,2017-03-13 20:00:00,0.0,0.0,0.0,0.0,0.0
21,871f18840ffffff_2017-03-13 21:00:00,871f18840ffffff,2017-03-13 21:00:00,0.0,0.0,0.0,0.0,0.0
22,871f18840ffffff_2017-03-13 22:00:00,871f18840ffffff,2017-03-13 22:00:00,0.0,0.0,0.0,0.0,0.0
23,871f18840ffffff_2017-03-13 23:00:00,871f18840ffffff,2017-03-13 23:00:00,0.0,0.0,0.0,0.0,0.0
24,871f18840ffffff_2017-03-14 00:00:00,871f18840ffffff,2017-03-14 00:00:00,0.0,0.0,0.0,0.0,0.0
25,871f18840ffffff_2017-03-14 01:00:00,871f18840ffffff,2017-03-14 01:00:00,0.0,0.0,0.0,0.0,0.0
26,871f18840ffffff_2017-03-14 02:00:00,871f18840ffffff,2017-03-14 02:00:00,0.0,0.0,0.0,0.0,0.0
27,871f18840ffffff_2017-03-14 03:00:00,871f18840ffffff,2017-03-14 03:00:00,0.0,0.0,0.0,0.0,0.0
28,871f18840ffffff_2017-03-14 04:00:00,871f18840ffffff,2017-03-14 04:00:00,0.0,0.0,0.0,0.0,0.0
29,871f18840ffffff_2017-03-14 05:00:00,871f18840ffffff,2017-03-14 05:00:00,0.0,0.0,0.0,0.0,0.0
30,871f18840ffffff_2017-03-14 06:00:00,871f18840ffffff,2017-03-14 06:00:00,0.0,0.0,0.0,0.0,0.0
31,871f18840ffffff_2017-03-14 07:00:00,871f18840ffffff,2017-03-14 07:00:00,0.0,0.0,0.0,2.0,2.0
32,871f18840ffffff_2017-03-14 08:00:00,871f18840ffffff,2017-03-14 08:00:00,0.0,3.0,0.0,6.0,9.0
33,871f18840ffffff_2017-03-14 09:00:00,871f18840ffffff,2017-03-14 09:00:00,0.0,6.0,0.0,9.0,15.0
