,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
0,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18847ffffff,POINT (13.16971616589165 52.40733368498856),False,0,0.0
1,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),False,6,37.49126799999999
2,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d497ffffff,POINT (13.21588119001533 52.49657269480686),False,2,11.992572000000006
3,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),False,4,27.41820699999999
4,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,2,14.251695000000009
5,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,4,24.337360999999994
6,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,6,38.187846
7,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),False,5,28.892023999999996
8,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),False,3,18.274648000000003
9,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),False,3,20.884266999999998
10,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),False,5,31.293901999999992
11,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,4,26.819222999999997
12,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,3,19.462097
13,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b37ffffff,POINT (13.32725633154396 52.43442182525305),False,2,12.194295
14,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b5fffffff,POINT (13.6858123489642 52.38681944391617),False,6,41.67508
15,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),False,4,23.79311700000001
16,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),False,6,39.799439999999976
17,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),False,4,25.888474999999996
18,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d487ffffff,POINT (13.28390146169232 52.5353111379206),False,3,17.571098
19,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b27ffffff,POINT (13.39530441655258 52.47313387921053),False,3,17.508286000000005
20,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18b57ffffff,POINT (13.59617996879917 52.39883051010078),False,5,34.14265100000001
21,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f18867ffffff,POINT (13.14795621198939 52.45778129900459),True,1,24.222739999999995
22,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d41fffffff,POINT (13.42022791909618 52.61262856955771),False,5,32.124828999999984
23,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4d7ffffff,POINT (13.46344745765333 52.51179276736553),False,4,25.37682900000001
24,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4c7ffffff,POINT (13.53168546056333 52.55039834100136),False,5,32.43622899999999
25,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1886fffffff,POINT (13.23760774875245 52.4461383572344),True,1,7.182502000000001
26,861f18847ffffff,POINT (13.16971616589165 52.40733368498856),861f1d4dfffffff,POINT (13.55321456974186 52.49992295708295),False,5,33.440825000000004
27,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f18847ffffff,POINT (13.16971616589165 52.40733368498856),False,6,37.10940899999999
28,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),False,0,0.0
29,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d497ffffff,POINT (13.21588119001533 52.49657269480686),False,4,28.733407000000003
30,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),False,2,13.530086999999996
31,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,4,25.639711999999985
32,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,4,25.986606000000005
33,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,3,24.877781999999996
34,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),False,2,17.906369
35,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),False,4,27.545639999999988
36,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),False,3,18.331785
37,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),False,4,29.526523999999995
38,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,5,32.275740000000006
39,861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,5,30.283050999999993
