,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
0,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.16971616589165 52.40733368498856)",0.0,0,0.0
1,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.39857145403482 52.66297549420008)",32.36728803580341,2,32.31121315696869
2,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,"LINESTRING (13.16971616589165 52.40733368498856, 13.28390146169232 52.5353111379206)",16.1964801300376,1,16.155606578484345
3,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.53168546056333 52.55039834100136)",29.223191758877807,2,32.31121315696869
4,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),True,"LINESTRING (13.16971616589165 52.40733368498856, 13.41690152158381 52.42263168480853)",16.850678489378293,1,16.155606578484345
5,851f1887fffffff,POINT (13.16971616589165 52.40733368498856),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.16971616589165 52.40733368498856, 13.66441017478797 52.43742299906616)",33.71188472365778,2,32.31121315696869
6,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),False,"LINESTRING (13.39857145403482 52.66297549420008, 13.16971616589165 52.40733368498856)",32.36728803580341,2,32.31121315696869
7,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),False,"LINESTRING (13.39857145403482 52.66297549420008, 13.39857145403482 52.66297549420008)",0.0,0,0.0
8,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),True,"LINESTRING (13.39857145403482 52.66297549420008, 13.28390146169232 52.5353111379206)",16.170807905765813,1,16.155606578484345
9,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,"LINESTRING (13.39857145403482 52.66297549420008, 13.53168546056333 52.55039834100136)",15.410977011685265,1,16.155606578484345
10,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f18b3fffffff,POINT (13.41690152158381 52.42263168480853),False,"LINESTRING (13.39857145403482 52.66297549420008, 13.41690152158381 52.42263168480853)",26.753743922415904,2,32.31121315696869
11,851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),851f18b7fffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.39857145403482 52.66297549420008, 13.66441017478797 52.43742299906616)",30.85606351020074,2,32.31121315696869
12,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1887fffffff,POINT (13.16971616589165 52.40733368498856),True,"LINESTRING (13.28390146169232 52.5353111379206, 13.16971616589165 52.40733368498856)",16.1964801300376,1,16.155606578484345
13,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d43fffffff,POINT (13.39857145403482 52.66297549420008),True,"LINESTRING (13.28390146169232 52.5353111379206, 13.39857145403482 52.66297549420008)",16.170807905765813,1,16.155606578484345
14,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),False,"LINESTRING (13.28390146169232 52.5353111379206, 13.28390146169232 52.5353111379206)",0.0,0,0.0
15,851f1d4bfffffff,POINT (13.28390146169232 52.5353111379206),851f1d4ffffffff,POINT (13.53168546056333 52.55039834100136),True,"LINESTRING (13.28390146169232 52.5353111379206, 13.53168546056333 52.55039834100136)",16.840199902953202,1,16.155606578484345
