,key_6hex_1h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
0,861f18847ffffff_2017-02-25 08:00:00,1.0,55.0,55.0,0.0,0.0,0.0,55.0,861f18847ffffff,2017-02-25 08:00:00
1,861f18847ffffff_2017-02-25 12:00:00,1.0,40.0,40.0,1.0,55.0,55.0,47.5,861f18847ffffff,2017-02-25 12:00:00
2,861f18847ffffff_2017-02-25 15:00:00,2.0,115.0,57.5,0.0,0.0,0.0,57.5,861f18847ffffff,2017-02-25 15:00:00
3,861f18847ffffff_2017-02-25 16:00:00,1.0,75.0,75.0,0.0,0.0,0.0,75.0,861f18847ffffff,2017-02-25 16:00:00
4,861f18847ffffff_2017-02-26 17:00:00,3.0,185.0,61.66666666666666,0.0,0.0,0.0,61.666666666666664,861f18847ffffff,2017-02-26 17:00:00
5,861f18847ffffff_2017-02-27 13:00:00,1.0,35.0,35.0,0.0,0.0,0.0,35.0,861f18847ffffff,2017-02-27 13:00:00
6,861f18847ffffff_2017-02-27 14:00:00,2.0,165.0,82.5,0.0,0.0,0.0,82.5,861f18847ffffff,2017-02-27 14:00:00
7,861f18847ffffff_2017-02-27 15:00:00,2.0,175.0,87.5,1.0,95.0,95.0,90.0,861f18847ffffff,2017-02-27 15:00:00
8,861f18847ffffff_2017-02-27 16:00:00,2.0,190.0,95.0,2.0,120.0,60.0,77.5,861f18847ffffff,2017-02-27 16:00:00
9,861f18847ffffff_2017-02-27 17:00:00,4.0,120.0,30.0,2.0,100.0,50.0,36.666666666666664,861f18847ffffff,2017-02-27 17:00:00
10,861f18847ffffff_2017-02-27 18:00:00,2.0,65.0,32.5,0.0,0.0,0.0,32.5,861f18847ffffff,2017-02-27 18:00:00
11,861f18847ffffff_2017-02-27 20:00:00,1.0,45.0,45.0,0.0,0.0,0.0,45.0,861f18847ffffff,2017-02-27 20:00:00
12,861f18847ffffff_2017-02-27 21:00:00,1.0,45.0,45.0,0.0,0.0,0.0,45.0,861f18847ffffff,2017-02-27 21:00:00
13,861f18847ffffff_2017-02-28 04:00:00,2.0,45.0,22.5,0.0,0.0,0.0,22.5,861f18847ffffff,2017-02-28 04:00:00
14,861f18847ffffff_2017-02-28 11:00:00,1.0,40.0,40.0,0.0,0.0,0.0,40.0,861f18847ffffff,2017-02-28 11:00:00
15,861f18847ffffff_2017-02-28 13:00:00,2.0,80.0,40.0,0.0,0.0,0.0,40.0,861f18847ffffff,2017-02-28 13:00:00
