,key_7hex_6h,hex_id_7hex,timestamp,electric_C2G,n_electric_C2G,electric_DN,n_electric_DN,total_avail
0,871f18840ffffff_2017-03-13 00:00:00,871f18840ffffff,2017-03-13 00:00:00,0.0,0.0,0.0,3.0,3.0
1,871f18840ffffff_2017-03-13 06:00:00,871f18840ffffff,2017-03-13 06:00:00,0.0,0.0,0.0,3.0,3.0
2,871f18840ffffff_2017-03-13 12:00:00,871f18840ffffff,2017-03-13 12:00:00,0.0,8.0,1.0,8.0,17.0
3,871f18840ffffff_2017-03-13 18:00:00,871f18840ffffff,2017-03-13 18:00:00,0.0,0.0,1.0,0.0,1.0
4,871f18840ffffff_2017-03-14 00:00:00,871f18840ffffff,2017-03-14 00:00:00,0.0,0.0,0.0,0.0,0.0
5,871f18840ffffff_2017-03-14 06:00:00,871f18840ffffff,2017-03-14 06:00:00,0.0,0.0,0.0,0.0,0.0
6,871f18840ffffff_2017-03-14 12:00:00,871f18840ffffff,2017-03-14 12:00:00,0.0,6.0,0.0,11.0,17.0
7,871f18840ffffff_2017-03-14 18:00:00,871f18840ffffff,2017-03-14 18:00:00,0.0,0.0,0.0,2.0,2.0
8,871f18840ffffff_2017-03-15 00:00:00,871f18840ffffff,2017-03-15 00:00:00,0.0,1.0,0.0,0.0,1.0
9,871f18840ffffff_2017-03-15 06:00:00,871f18840ffffff,2017-03-15 06:00:00,0.0,2.0,0.0,0.0,2.0
10,871f18840ffffff_2017-03-15 12:00:00,871f18840ffffff,2017-03-15 12:00:00,0.0,12.0,0.0,3.0,15.0
11,871f18840ffffff_2017-03-15 18:00:00,871f18840ffffff,2017-03-15 18:00:00,0.0,3.0,0.0,0.0,3.0
12,871f18840ffffff_2017-03-16 00:00:00,871f18840ffffff,2017-03-16 00:00:00,0.0,2.0,0.0,0.0,2.0
13,871f18840ffffff_2017-03-16 06:00:00,871f18840ffffff,2017-03-16 06:00:00,0.0,2.0,0.0,1.0,3.0
14,871f18840ffffff_2017-03-16 12:00:00,871f18840ffffff,2017-03-16 12:00:00,0.0,10.0,0.0,6.0,16.0
15,871f18840ffffff_2017-03-16 18:00:00,871f18840ffffff,2017-03-16 18:00:00,0.0,3.0,0.0,2.0,5.0
16,871f18840ffffff_2017-03-17 00:00:00,871f18840ffffff,2017-03-17 00:00:00,0.0,3.0,0.0,2.0,5.0
17,871f18840ffffff_2017-03-17 06:00:00,871f18840ffffff,2017-03-17 06:00:00,0.0,1.0,0.0,2.0,3.0
18,871f18840ffffff_2017-03-17 12:00:00,871f18840ffffff,2017-03-17 12:00:00,0.0,6.0,1.0,7.0,14.0
19,871f18840ffffff_2017-03-17 18:00:00,871f18840ffffff,2017-03-17 18:00:00,0.0,1.0,0.0,0.0,1.0
20,871f18840ffffff_2017-03-18 00:00:00,871f18840ffffff,2017-03-18 00:00:00,0.0,1.0,0.0,1.0,2.0
21,871f18840ffffff_2017-03-18 06:00:00,871f18840ffffff,2017-03-18 06:00:00,0.0,1.0,0.0,0.0,1.0
22,871f18840ffffff_2017-03-18 12:00:00,871f18840ffffff,2017-03-18 12:00:00,0.0,1.0,0.0,0.0,1.0
23,871f18840ffffff_2017-03-18 18:00:00,871f18840ffffff,2017-03-18 18:00:00,0.0,2.0,0.0,0.0,2.0
24,871f18840ffffff_2017-03-19 00:00:00,871f18840ffffff,2017-03-19 00:00:00,0.0,2.0,0.0,0.0,2.0
25,871f18840ffffff_2017-03-19 06:00:00,871f18840ffffff,2017-03-19 06:00:00,0.0,2.0,0.0,0.0,2.0
26,871f18840ffffff_2017-03-19 12:00:00,871f18840ffffff,2017-03-19 12:00:00,0.0,2.0,0.0,0.0,2.0
27,871f18840ffffff_2017-03-19 18:00:00,871f18840ffffff,2017-03-19 18:00:00,0.0,1.0,0.0,0.0,1.0
28,871f18840ffffff_2017-03-20 00:00:00,871f18840ffffff,2017-03-20 00:00:00,0.0,1.0,0.0,0.0,1.0
29,871f18840ffffff_2017-03-20 06:00:00,871f18840ffffff,2017-03-20 06:00:00,0.0,1.0,0.0,1.0,2.0
30,871f18840ffffff_2017-03-20 12:00:00,871f18840ffffff,2017-03-20 12:00:00,0.0,7.0,0.0,12.0,19.0
31,871f18840ffffff_2017-03-20 18:00:00,871f18840ffffff,2017-03-20 18:00:00,0.0,1.0,0.0,4.0,5.0
