Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d48fffffff,2017-03-13T00:00:00.0,189,87,87,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T00:00:00.0,158,66,64,2,0,0,2,10
861f1d49fffffff,2017-03-13T00:00:00.0,125,61,65,-4,0,0,-4,-28
861f18b27ffffff,2017-03-13T00:00:00.0,132,71,71,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T00:00:00.0,90,36,36,0,0,0,0,0
861f1d487ffffff,2017-03-13T00:00:00.0,52,27,27,0,0,0,0,0
861f1d4afffffff,2017-03-13T00:00:00.0,47,24,24,0,0,0,0,0
861f18b37ffffff,2017-03-13T00:00:00.0,37,14,14,0,0,0,0,0
861f18b2fffffff,2017-03-13T00:00:00.0,18,11,12,-1,0,0,-1,-10
861f1886fffffff,2017-03-13T00:00:00.0,5,2,0,2,0,0,2,28
861f1d4b7ffffff,2017-03-13T00:00:00.0,17,16,16,0,0,0,0,0
861f18b0fffffff,2017-03-13T00:00:00.0,3,1,1,0,0,0,0,0
861f1d4dfffffff,2017-03-13T00:00:00.0,5,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T06:00:00.0,1109,537,537,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T06:00:00.0,789,341,334,7,0,0,9,19
861f1d49fffffff,2017-03-13T06:00:00.0,640,316,327,-11,0,0,-15,-37
861f18b27ffffff,2017-03-13T06:00:00.0,467,239,239,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T06:00:00.0,311,130,125,5,0,0,5,11
861f1d487ffffff,2017-03-13T06:00:00.0,203,97,87,10,0,0,10,25
861f1d4afffffff,2017-03-13T06:00:00.0,151,81,85,-4,0,0,-4,-11
861f18b37ffffff,2017-03-13T06:00:00.0,102,47,47,0,0,0,0,0
861f18b2fffffff,2017-03-13T06:00:00.0,51,26,34,-8,0,0,-9,-30
861f1886fffffff,2017-03-13T06:00:00.0,49,18,3,15,0,0,17,37
861f1d4b7ffffff,2017-03-13T06:00:00.0,35,32,33,-1,0,0,-1,-25
861f18b0fffffff,2017-03-13T06:00:00.0,10,5,5,0,0,0,0,0
861f1d4dfffffff,2017-03-13T06:00:00.0,18,4,1,3,0,0,3,11
861f1d48fffffff,2017-03-13T12:00:00.0,1674,862,858,4,0,0,4,0
861f1d4d7ffffff,2017-03-13T12:00:00.0,780,311,307,4,0,0,13,18
861f1d49fffffff,2017-03-13T12:00:00.0,848,426,426,0,0,0,-15,-37
861f18b27ffffff,2017-03-13T12:00:00.0,616,309,308,1,0,0,1,0
861f1d4f7ffffff,2017-03-13T12:00:00.0,266,103,101,2,0,0,7,11
861f1d487ffffff,2017-03-13T12:00:00.0,226,110,107,3,0,0,13,25
861f1d4afffffff,2017-03-13T12:00:00.0,156,96,95,1,0,0,-3,-11
861f18b37ffffff,2017-03-13T12:00:00.0,122,64,63,1,0,0,1,0
861f18b2fffffff,2017-03-13T12:00:00.0,50,30,32,-2,0,0,-11,-30
861f1886fffffff,2017-03-13T12:00:00.0,37,8,2,6,0,0,23,37
861f1d4b7ffffff,2017-03-13T12:00:00.0,45,44,43,1,0,0,0,-25
861f18b0fffffff,2017-03-13T12:00:00.0,20,10,10,0,0,0,0,0
861f1d4dfffffff,2017-03-13T12:00:00.0,28,7,3,4,0,0,7,12
861f1d48fffffff,2017-03-13T18:00:00.0,797,436,430,6,0,0,10,1
861f1d4d7ffffff,2017-03-13T18:00:00.0,553,275,273,2,0,0,15,18
861f1d49fffffff,2017-03-13T18:00:00.0,471,292,287,5,0,0,-10,-37
861f18b27ffffff,2017-03-13T18:00:00.0,455,282,279,3,0,0,4,0
861f1d4f7ffffff,2017-03-13T18:00:00.0,239,123,122,1,0,0,8,11
861f1d487ffffff,2017-03-13T18:00:00.0,125,74,74,0,0,0,13,25
861f1d4afffffff,2017-03-13T18:00:00.0,106,69,69,0,0,0,-3,-12
861f18b37ffffff,2017-03-13T18:00:00.0,60,35,35,0,0,0,1,0
861f18b2fffffff,2017-03-13T18:00:00.0,35,25,24,1,0,0,-10,-30
861f1886fffffff,2017-03-13T18:00:00.0,12,2,0,2,0,0,25,37
861f1d4b7ffffff,2017-03-13T18:00:00.0,31,30,30,0,0,0,0,-25
861f18b0fffffff,2017-03-13T18:00:00.0,11,5,5,0,0,0,0,0
861f1d4dfffffff,2017-03-13T18:00:00.0,9,1,1,0,0,0,7,12
861f1d48fffffff,2017-03-14T00:00:00.0,157,89,86,3,0,0,13,1
861f1d4d7ffffff,2017-03-14T00:00:00.0,168,84,82,2,0,0,17,18
