Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d4dfffffff,2017-03-14T00:00:00.0,3,0,0,0,0,0,1,3
861f1d48fffffff,2017-03-14T06:00:00.0,1109,559,557,2,0,0,10,0
861f1d4d7ffffff,2017-03-14T06:00:00.0,744,339,338,1,0,0,6,0
861f1d49fffffff,2017-03-14T06:00:00.0,691,381,378,3,0,0,1,-13
861f18b27ffffff,2017-03-14T06:00:00.0,457,254,253,1,0,0,5,0
861f1d4f7ffffff,2017-03-14T06:00:00.0,289,133,132,1,0,0,3,0
861f1d487ffffff,2017-03-14T06:00:00.0,221,114,114,0,0,0,13,20
861f1d4afffffff,2017-03-14T06:00:00.0,161,109,108,1,0,0,2,0
861f18b37ffffff,2017-03-14T06:00:00.0,114,63,64,-1,0,0,-1,-3
861f18b2fffffff,2017-03-14T06:00:00.0,54,37,37,0,0,0,-1,-3
861f1886fffffff,2017-03-14T06:00:00.0,52,6,4,2,0,0,14,16
861f1d4b7ffffff,2017-03-14T06:00:00.0,39,37,37,0,0,0,0,-20
861f18b0fffffff,2017-03-14T06:00:00.0,19,10,10,0,0,0,0,0
861f1d4dfffffff,2017-03-14T06:00:00.0,18,2,1,1,0,0,2,3
861f1d48fffffff,2017-03-14T12:00:00.0,1647,796,792,4,0,0,14,0
861f1d4d7ffffff,2017-03-14T12:00:00.0,810,367,364,3,0,0,9,0
861f1d49fffffff,2017-03-14T12:00:00.0,853,461,460,1,0,0,2,-13
861f18b27ffffff,2017-03-14T12:00:00.0,585,316,314,2,0,0,7,0
861f1d4f7ffffff,2017-03-14T12:00:00.0,292,123,122,1,0,0,4,0
861f1d487ffffff,2017-03-14T12:00:00.0,228,114,113,1,0,0,14,20
861f1d4afffffff,2017-03-14T12:00:00.0,157,100,99,1,0,0,3,0
861f18b37ffffff,2017-03-14T12:00:00.0,133,70,71,-1,0,0,-2,-3
861f18b2fffffff,2017-03-14T12:00:00.0,50,33,32,1,0,0,0,-3
861f1886fffffff,2017-03-14T12:00:00.0,50,2,1,1,0,0,15,16
861f1d4b7ffffff,2017-03-14T12:00:00.0,54,51,51,0,0,0,0,-20
861f18b0fffffff,2017-03-14T12:00:00.0,31,17,17,0,0,0,0,0
861f1d4dfffffff,2017-03-14T12:00:00.0,23,3,3,0,0,0,2,3
861f1d48fffffff,2017-03-14T18:00:00.0,988,433,431,2,0,0,16,0
861f1d4d7ffffff,2017-03-14T18:00:00.0,733,312,309,3,0,0,12,0
861f1d49fffffff,2017-03-14T18:00:00.0,588,293,292,1,0,0,3,-13
861f18b27ffffff,2017-03-14T18:00:00.0,587,288,287,1,0,0,8,0
861f1d4f7ffffff,2017-03-14T18:00:00.0,337,138,136,2,0,0,6,0
861f1d487ffffff,2017-03-14T18:00:00.0,163,83,83,0,0,0,14,20
861f1d4afffffff,2017-03-14T18:00:00.0,149,84,84,0,0,0,3,0
861f18b37ffffff,2017-03-14T18:00:00.0,89,52,52,0,0,0,-2,-3
861f18b2fffffff,2017-03-14T18:00:00.0,69,48,48,0,0,0,0,-3
861f1886fffffff,2017-03-14T18:00:00.0,33,1,1,0,0,0,15,16
861f1d4b7ffffff,2017-03-14T18:00:00.0,29,27,27,0,0,0,0,-20
861f18b0fffffff,2017-03-14T18:00:00.0,8,5,5,0,0,0,0,0
861f1d4dfffffff,2017-03-14T18:00:00.0,8,0,0,0,0,0,2,3
861f1d48fffffff,2017-03-15T00:00:00.0,174,92,91,1,0,0,17,0
861f1d4d7ffffff,2017-03-15T00:00:00.0,170,77,76,1,0,0,13,0
861f1d49fffffff,2017-03-15T00:00:00.0,139,71,70,1,0,0,4,-13
861f18b27ffffff,2017-03-15T00:00:00.0,121,60,59,1,0,0,9,0
861f1d4f7ffffff,2017-03-15T00:00:00.0,87,39,38,1,0,0,7,0
861f1d487ffffff,2017-03-15T00:00:00.0,60,30,30,0,0,0,14,20
861f1d4afffffff,2017-03-15T00:00:00.0,53,31,30,1,0,0,4,0
861f18b37ffffff,2017-03-15T00:00:00.0,29,16,16,0,0,0,-2,-3
861f18b2fffffff,2017-03-15T00:00:00.0,23,15,15,0,0,0,0,-3
861f1886fffffff,2017-03-15T00:00:00.0,8,0,0,0,0,0,15,16
861f1d4b7ffffff,2017-03-15T00:00:00.0,15,14,14,0,0,0,0,-20
861f18b0fffffff,2017-03-15T00:00:00.0,2,1,1,0,0,0,0,0
861f1d4dfffffff,2017-03-15T00:00:00.0,4,0,0,0,0,0,2,3
861f1d48fffffff,2017-03-15T06:00:00.0,968,456,453,3,0,0,20,0
861f1d4d7ffffff,2017-03-15T06:00:00.0,768,343,342,1,0,0,14,0
861f1d49fffffff,2017-03-15T06:00:00.0,660,330,328,2,0,0,6,-13
861f18b27ffffff,2017-03-15T06:00:00.0,465,228,226,2,0,0,11,0
861f1d4f7ffffff,2017-03-15T06:00:00.0,281,118,118,0,0,0,7,0
861f1d487ffffff,2017-03-15T06:00:00.0,257,126,118,8,0,0,22,35
861f1d4afffffff,2017-03-15T06:00:00.0,144,90,88,2,0,0,6,0
861f18b37ffffff,2017-03-15T06:00:00.0,118,71,70,1,0,0,-1,-3
861f18b2fffffff,2017-03-15T06:00:00.0,59,44,43,1,0,0,1,-7
861f1886fffffff,2017-03-15T06:00:00.0,44,3,3,0,0,0,15,16
861f1d4b7ffffff,2017-03-15T06:00:00.0,45,43,43,0,0,0,0,-35
861f18b0fffffff,2017-03-15T06:00:00.0,44,20,20,0,0,0,0,0
861f1d4dfffffff,2017-03-15T06:00:00.0,29,5,2,3,0,0,5,7
861f1d48fffffff,2017-03-15T12:00:00.0,1660,764,757,7,0,0,27,0
861f1d4d7ffffff,2017-03-15T12:00:00.0,803,336,332,4,0,0,18,0
861f1d49fffffff,2017-03-15T12:00:00.0,807,405,402,3,0,0,9,-13
861f18b27ffffff,2017-03-15T12:00:00.0,618,322,320,2,0,0,13,0
861f1d4f7ffffff,2017-03-15T12:00:00.0,274,113,113,0,0,0,7,0
861f1d487ffffff,2017-03-15T12:00:00.0,287,127,123,4,0,0,26,35
861f1d4afffffff,2017-03-15T12:00:00.0,164,105,105,0,0,0,6,0
861f18b37ffffff,2017-03-15T12:00:00.0,131,71,71,0,0,0,-1,-5
861f18b2fffffff,2017-03-15T12:00:00.0,61,39,40,-1,0,0,0,-7
861f1886fffffff,2017-03-15T12:00:00.0,70,5,4,1,0,0,16,18
861f1d4b7ffffff,2017-03-15T12:00:00.0,49,49,47,2,0,0,2,-35
861f18b0fffffff,2017-03-15T12:00:00.0,71,31,31,0,0,0,0,0
861f1d4dfffffff,2017-03-15T12:00:00.0,17,4,4,0,0,0,5,7
861f1d48fffffff,2017-03-15T18:00:00.0,966,422,417,5,0,0,32,0
861f1d4d7ffffff,2017-03-15T18:00:00.0,818,348,344,4,0,0,22,0
861f1d49fffffff,2017-03-15T18:00:00.0,599,314,311,3,0,0,12,-13
861f18b27ffffff,2017-03-15T18:00:00.0,643,335,332,3,0,0,16,0
861f1d4f7ffffff,2017-03-15T18:00:00.0,350,146,144,2,0,0,9,0
861f1d487ffffff,2017-03-15T18:00:00.0,195,101,102,-1,0,0,25,35
861f1d4afffffff,2017-03-15T18:00:00.0,122,72,71,1,0,0,7,0
861f18b37ffffff,2017-03-15T18:00:00.0,96,48,48,0,0,0,-1,-5
861f18b2fffffff,2017-03-15T18:00:00.0,54,33,33,0,0,0,0,-7
861f1886fffffff,2017-03-15T18:00:00.0,31,2,1,1,0,0,17,18
861f1d4b7ffffff,2017-03-15T18:00:00.0,33,31,32,-1,0,0,1,-35
861f18b0fffffff,2017-03-15T18:00:00.0,47,21,21,0,0,0,0,0
861f1d4dfffffff,2017-03-15T18:00:00.0,16,3,3,0,0,0,5,7
861f1d48fffffff,2017-03-16T00:00:00.0,180,95,93,2,0,0,34,0
861f1d4d7ffffff,2017-03-16T00:00:00.0,175,81,80,1,0,0,23,0
861f1d49fffffff,2017-03-16T00:00:00.0,144,77,76,1,0,0,13,-13
861f18b27ffffff,2017-03-16T00:00:00.0,152,83,82,1,0,0,17,0
861f1d4f7ffffff,2017-03-16T00:00:00.0,84,36,35,1,0,0,10,0
861f1d487ffffff,2017-03-16T00:00:00.0,60,30,30,0,0,0,25,35
861f1d4afffffff,2017-03-16T00:00:00.0,49,30,30,0,0,0,7,0
861f18b37ffffff,2017-03-16T00:00:00.0,43,23,22,1,0,0,0,-5
861f18b2fffffff,2017-03-16T00:00:00.0,23,13,13,0,0,0,0,-7
861f1886fffffff,2017-03-16T00:00:00.0,8,0,0,0,0,0,17,18
861f1d4b7ffffff,2017-03-16T00:00:00.0,13,12,12,0,0,0,1,-35
861f18b0fffffff,2017-03-16T00:00:00.0,5,2,2,0,0,0,0,0
861f1d4dfffffff,2017-03-16T00:00:00.0,7,1,1,0,0,0,5,7
861f1d48fffffff,2017-03-16T06:00:00.0,1075,530,526,4,0,0,38,0
861f1d4d7ffffff,2017-03-16T06:00:00.0,759,333,329,4,0,0,27,0
861f1d49fffffff,2017-03-16T06:00:00.0,660,341,338,3,0,0,16,-13
861f18b27ffffff,2017-03-16T06:00:00.0,487,258,256,2,0,0,19,0
861f1d4f7ffffff,2017-03-16T06:00:00.0,298,125,123,2,0,0,12,0
861f1d487ffffff,2017-03-16T06:00:00.0,240,129,125,4,0,0,29,42
861f1d4afffffff,2017-03-16T06:00:00.0,129,81,80,1,0,0,8,0
861f18b37ffffff,2017-03-16T06:00:00.0,120,61,61,0,0,0,0,-5
861f18b2fffffff,2017-03-16T06:00:00.0,48,28,29,-1,0,0,-1,-7
861f1886fffffff,2017-03-16T06:00:00.0,55,3,3,0,0,0,17,18
861f1d4b7ffffff,2017-03-16T06:00:00.0,56,56,55,1,0,0,2,-42
861f18b0fffffff,2017-03-16T06:00:00.0,36,19,18,1,0,0,1,0
861f1d4dfffffff,2017-03-16T06:00:00.0,16,2,2,0,0,0,5,7
861f1d48fffffff,2017-03-16T12:00:00.0,1663,784,777,7,0,0,45,0
861f1d4d7ffffff,2017-03-16T12:00:00.0,879,377,373,4,0,0,31,0
861f1d49fffffff,2017-03-16T12:00:00.0,850,438,434,4,0,0,20,-13
861f18b27ffffff,2017-03-16T12:00:00.0,570,289,286,3,0,0,22,0
861f1d4f7ffffff,2017-03-16T12:00:00.0,289,118,117,1,0,0,13,0
861f1d487ffffff,2017-03-16T12:00:00.0,275,130,127,3,0,0,32,42
