Hex,timestamp,Total_revenue,Own_revenue_post_reloc,Own_rental_cost_post_reloc,Own_revenue_base_pre_reloc,Own_rental_cost_base_pre_reloc,Comp_rental_cost_base_pre_reloc,Own_revenue_delta,Own_rental_cost_delta
861f1d48fffffff,2017-03-13T00:00:00.0,3318.08,1527.37,267.29,1527.37,267.29,313.37,0.0,0.0
861f1d4d7ffffff,2017-03-13T00:00:00.0,2822.52,1143.3,200.08,1143.3,200.08,293.86,0.0,0.0
861f1d49fffffff,2017-03-13T00:00:00.0,1867.0,970.84,169.9,970.84,169.9,156.83,0.0,0.0
861f18b27ffffff,2017-03-13T00:00:00.0,1965.22,1057.05,184.98,1057.05,184.98,158.93,0.0,0.0
861f1d4f7ffffff,2017-03-13T00:00:00.0,1288.44,515.38,90.19,515.38,90.19,135.29,0.0,0.0
861f1d487ffffff,2017-03-13T00:00:00.0,781.04,405.54,70.97,405.54,70.97,65.71,0.0,0.0
861f1d4afffffff,2017-03-13T00:00:00.0,942.07,481.06,84.18,481.06,84.18,80.68,0.0,0.0
861f18b37ffffff,2017-03-13T00:00:00.0,926.03,350.39,61.32,350.39,61.32,100.74,0.0,0.0
861f18b2fffffff,2017-03-13T00:00:00.0,283.97,189.31,33.13,189.31,33.13,16.56,0.0,0.0
861f1886fffffff,2017-03-13T00:00:00.0,266.0,0.0,0.0,0.0,0.0,46.55,0.0,0.0
861f1d4b7ffffff,2017-03-13T00:00:00.0,267.98,252.22,44.14,252.22,44.14,2.76,0.0,0.0
861f18b0fffffff,2017-03-13T00:00:00.0,63.0,21.0,3.68,21.0,3.68,7.35,0.0,0.0
861f1d4dfffffff,2017-03-13T00:00:00.0,60.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0
861f1d48fffffff,2017-03-13T06:00:00.0,20135.0,9749.77,1706.21,9749.77,1706.21,1817.42,0.0,0.0
861f1d4d7ffffff,2017-03-13T06:00:00.0,16344.92,6919.14,1210.85,6919.14,1210.85,1649.51,0.0,0.0
861f1d49fffffff,2017-03-13T06:00:00.0,11386.88,5729.02,1002.58,5817.98,1018.15,974.56,-88.95999999999913,-15.569999999999936
861f18b27ffffff,2017-03-13T06:00:00.0,9575.37,4900.46,857.58,4900.46,857.58,818.11,0.0,0.0
861f1d4f7ffffff,2017-03-13T06:00:00.0,7735.19,3109.0,544.08,3109.0,544.08,809.58,0.0,0.0
861f1d487ffffff,2017-03-13T06:00:00.0,5675.88,2740.08,479.51,2432.52,425.69,567.59,307.55999999999995,53.81999999999999
861f1d4afffffff,2017-03-13T06:00:00.0,3641.52,2049.86,358.73,2049.86,358.73,278.54,0.0,0.0
861f18b37ffffff,2017-03-13T06:00:00.0,2407.61,1109.39,194.14,1109.39,194.14,227.19,0.0,0.0
861f18b2fffffff,2017-03-13T06:00:00.0,853.53,569.02,99.58,569.02,99.58,49.79,0.0,0.0
861f1886fffffff,2017-03-13T06:00:00.0,1589.17,356.75,62.43,97.3,17.03,261.08,259.45,45.4
861f1d4b7ffffff,2017-03-13T06:00:00.0,645.54,590.21,103.29,608.65,106.51,6.46,-18.43999999999994,-3.219999999999999
861f18b0fffffff,2017-03-13T06:00:00.0,176.0,88.0,15.4,88.0,15.4,15.4,0.0,0.0
861f1d4dfffffff,2017-03-13T06:00:00.0,400.25,22.24,3.89,22.24,3.89,66.15,0.0,0.0
861f1d48fffffff,2017-03-13T12:00:00.0,32676.48,16826.24,2944.59,16748.16,2930.93,2787.46,78.08000000000175,13.66000000000031
861f1d4d7ffffff,2017-03-13T12:00:00.0,14180.4,5617.62,983.08,5581.26,976.72,1504.85,36.35999999999967,6.360000000000014
861f1d49fffffff,2017-03-13T12:00:00.0,16865.03,8492.18,1486.13,8472.29,1482.65,1468.73,19.889999999999418,3.480000000000018
861f18b27ffffff,2017-03-13T12:00:00.0,11423.1,5730.1,1002.77,5711.55,999.52,999.52,18.550000000000182,3.25
861f1d4f7ffffff,2017-03-13T12:00:00.0,5594.51,2145.26,375.42,2124.23,371.74,607.3,21.0300000000002,3.680000000000007
861f1d487ffffff,2017-03-13T12:00:00.0,5025.33,2423.72,424.15,2379.25,416.37,463.06,44.4699999999998,7.779999999999973
861f1d4afffffff,2017-03-13T12:00:00.0,3423.89,2085.06,364.89,2085.06,364.89,234.29,0.0,0.0
861f18b37ffffff,2017-03-13T12:00:00.0,3096.85,1599.19,279.86,1599.19,279.86,262.09,0.0,0.0
861f18b2fffffff,2017-03-13T12:00:00.0,1052.0,652.24,114.14,673.28,117.82,66.28,-21.039999999999964,-3.6799999999999926
861f1886fffffff,2017-03-13T12:00:00.0,1244.24,168.14,29.42,67.26,11.77,205.97,100.87999999999998,17.650000000000002
861f1d4b7ffffff,2017-03-13T12:00:00.0,1038.06,1014.99,177.62,991.92,173.59,8.07,23.07000000000005,4.030000000000001
861f18b0fffffff,2017-03-13T12:00:00.0,405.68,202.84,35.5,202.84,35.5,35.5,0.0,0.0
861f1d4dfffffff,2017-03-13T12:00:00.0,922.1,131.73,23.05,98.8,17.29,144.08,32.92999999999999,5.760000000000002
861f1d48fffffff,2017-03-13T18:00:00.0,19083.37,10367.75,1814.36,10295.92,1801.79,1537.8,71.82999999999993,12.569999999999936
861f1d4d7ffffff,2017-03-13T18:00:00.0,13362.69,6645.1,1162.89,6596.77,1154.44,1184.04,48.32999999999993,8.450000000000045
